buying,maint,doors,persons,trunk,safety,acceptability
vhigh,high,4,more,grande,high,unacc
vhigh,high,5more,2,pequeño,low,unacc
vhigh,high,5more,2,pequeño,med,unacc
vhigh,high,5more,2,pequeño,high,unacc
vhigh,high,5more,2,mediano,low,unacc
vhigh,high,5more,2,mediano,med,unacc
vhigh,high,5more,2,mediano,high,unacc
vhigh,high,5more,2,grande,low,unacc
vhigh,high,5more,2,grande,med,unacc
vhigh,high,5more,2,grande,high,unacc
vhigh,high,5more,4,pequeño,low,unacc
vhigh,high,5more,4,pequeño,med,unacc
vhigh,high,5more,4,pequeño,high,unacc
vhigh,high,5more,4,mediano,low,unacc
vhigh,high,5more,4,mediano,med,unacc
vhigh,high,5more,4,mediano,high,unacc
vhigh,high,5more,4,grande,low,unacc
vhigh,high,5more,4,grande,med,unacc
vhigh,high,5more,4,grande,high,unacc
vhigh,high,5more,more,pequeño,low,unacc
vhigh,high,5more,more,pequeño,med,unacc
vhigh,high,5more,more,pequeño,high,unacc
vhigh,high,5more,more,mediano,low,unacc
vhigh,high,5more,more,mediano,med,unacc
vhigh,high,5more,more,mediano,high,unacc
vhigh,high,5more,more,grande,low,unacc
vhigh,high,5more,more,grande,med,unacc
vhigh,high,5more,more,grande,high,unacc
vhigh,med,2,2,pequeño,low,unacc
vhigh,med,2,2,pequeño,med,unacc
vhigh,med,2,2,pequeño,high,unacc
vhigh,med,2,2,mediano,low,unacc
vhigh,med,2,2,mediano,med,unacc
vhigh,med,2,2,mediano,high,unacc
vhigh,med,2,2,grande,low,unacc
vhigh,med,2,2,grande,med,unacc
vhigh,med,2,2,grande,high,unacc
vhigh,med,2,4,pequeño,low,unacc
vhigh,med,2,4,pequeño,med,unacc
vhigh,med,2,4,pequeño,high,acc
vhigh,med,2,4,mediano,low,unacc
vhigh,med,2,4,mediano,med,unacc
vhigh,med,2,4,mediano,high,acc
vhigh,med,2,4,grande,low,unacc
vhigh,med,2,4,grande,med,acc
vhigh,med,2,4,grande,high,acc
vhigh,med,2,more,pequeño,low,unacc
vhigh,med,2,more,pequeño,med,unacc
vhigh,med,2,more,pequeño,high,unacc
vhigh,med,2,more,mediano,low,unacc
vhigh,med,2,more,mediano,med,unacc
vhigh,med,2,more,mediano,high,acc
vhigh,med,2,more,grande,low,unacc
vhigh,med,2,more,grande,med,acc
vhigh,med,2,more,grande,high,acc
vhigh,med,3,2,pequeño,low,unacc
vhigh,med,3,2,pequeño,med,unacc
vhigh,med,3,2,pequeño,high,unacc
vhigh,med,3,2,mediano,low,unacc
vhigh,med,3,2,mediano,med,unacc
vhigh,med,3,2,mediano,high,unacc
vhigh,med,3,2,grande,low,unacc
vhigh,med,3,2,grande,med,unacc
vhigh,med,3,2,grande,high,unacc
vhigh,med,3,4,pequeño,low,unacc
vhigh,med,3,4,pequeño,med,unacc
vhigh,med,3,4,pequeño,high,acc
vhigh,med,3,4,mediano,low,unacc
vhigh,med,3,4,mediano,med,unacc
vhigh,med,3,4,mediano,high,acc
vhigh,med,3,4,grande,low,unacc
vhigh,med,3,4,grande,med,acc
vhigh,med,3,4,grande,high,acc
vhigh,med,3,more,pequeño,low,unacc
vhigh,med,3,more,pequeño,med,unacc
vhigh,med,3,more,pequeño,high,acc
vhigh,med,3,more,mediano,low,unacc
vhigh,med,3,more,mediano,med,acc
vhigh,med,3,more,mediano,high,acc
vhigh,med,3,more,grande,low,unacc
vhigh,med,3,more,grande,med,acc
vhigh,med,3,more,grande,high,acc
vhigh,med,4,2,pequeño,low,unacc
vhigh,med,4,2,pequeño,med,unacc
vhigh,med,4,2,pequeño,high,unacc
vhigh,med,4,2,mediano,low,unacc
vhigh,med,4,2,mediano,med,unacc
vhigh,med,4,2,mediano,high,unacc
vhigh,med,4,2,grande,low,unacc
vhigh,med,4,2,grande,med,unacc
vhigh,med,4,2,grande,high,unacc
vhigh,med,4,4,pequeño,low,unacc
vhigh,med,4,4,pequeño,med,unacc
vhigh,med,4,4,pequeño,high,acc
vhigh,med,4,4,mediano,low,unacc
vhigh,med,4,4,mediano,med,acc
vhigh,med,4,4,mediano,high,acc
vhigh,med,4,4,grande,low,unacc
vhigh,med,4,4,grande,med,acc
vhigh,med,4,4,grande,high,acc
vhigh,med,4,more,pequeño,low,unacc
vhigh,med,4,more,pequeño,med,unacc
vhigh,med,4,more,pequeño,high,acc
vhigh,med,4,more,mediano,low,unacc
vhigh,med,4,more,mediano,med,acc
vhigh,med,4,more,mediano,high,acc
vhigh,med,4,more,grande,low,unacc
vhigh,med,4,more,grande,med,acc
vhigh,med,4,more,grande,high,acc
vhigh,med,5more,2,pequeño,low,unacc
vhigh,med,5more,2,pequeño,med,unacc
vhigh,med,5more,2,pequeño,high,unacc
vhigh,med,5more,2,mediano,low,unacc
vhigh,med,5more,2,mediano,med,unacc
vhigh,med,5more,2,mediano,high,unacc
vhigh,med,5more,2,grande,low,unacc
vhigh,med,5more,2,grande,med,unacc
vhigh,med,5more,2,grande,high,unacc
vhigh,med,5more,4,pequeño,low,unacc
vhigh,med,5more,4,pequeño,med,unacc
vhigh,med,5more,4,pequeño,high,acc
vhigh,med,5more,4,mediano,low,unacc
vhigh,med,5more,4,mediano,med,acc
vhigh,med,5more,4,mediano,high,acc
vhigh,med,5more,4,grande,low,unacc
vhigh,med,5more,4,grande,med,acc
vhigh,med,5more,4,grande,high,acc
vhigh,med,5more,more,pequeño,low,unacc
vhigh,med,5more,more,pequeño,med,unacc
vhigh,med,5more,more,pequeño,high,acc
vhigh,med,5more,more,mediano,low,unacc
vhigh,med,5more,more,mediano,med,acc
vhigh,med,5more,more,mediano,high,acc
vhigh,med,5more,more,grande,low,unacc
vhigh,med,5more,more,grande,med,acc
vhigh,med,5more,more,grande,high,acc
vhigh,low,2,2,pequeño,low,unacc
vhigh,low,2,2,pequeño,med,unacc
vhigh,low,2,2,pequeño,high,unacc
vhigh,low,2,2,mediano,low,unacc
vhigh,low,2,2,mediano,med,unacc
vhigh,low,2,2,mediano,high,unacc
vhigh,low,2,2,grande,low,unacc
vhigh,low,2,2,grande,med,unacc
vhigh,low,2,2,grande,high,unacc
vhigh,low,2,4,pequeño,low,unacc
vhigh,low,2,4,pequeño,med,unacc
vhigh,low,2,4,pequeño,high,acc
vhigh,low,2,4,mediano,low,unacc
vhigh,low,2,4,mediano,med,unacc
vhigh,low,2,4,mediano,high,acc
vhigh,low,2,4,grande,low,unacc
vhigh,low,2,4,grande,med,acc
vhigh,low,2,4,grande,high,acc
vhigh,low,2,more,pequeño,low,unacc
vhigh,low,2,more,pequeño,med,unacc
vhigh,low,2,more,pequeño,high,unacc
vhigh,low,2,more,mediano,low,unacc
vhigh,low,2,more,mediano,med,unacc
vhigh,low,2,more,mediano,high,acc
vhigh,low,2,more,grande,low,unacc
vhigh,low,2,more,grande,med,acc
vhigh,low,2,more,grande,high,acc
vhigh,low,3,2,pequeño,low,unacc
vhigh,low,3,2,pequeño,med,unacc
vhigh,low,3,2,pequeño,high,unacc
vhigh,low,3,2,mediano,low,unacc
vhigh,low,3,2,mediano,med,unacc
vhigh,low,3,2,mediano,high,unacc
vhigh,low,3,2,grande,low,unacc
vhigh,low,3,2,grande,med,unacc
vhigh,low,3,2,grande,high,unacc
vhigh,low,3,4,pequeño,low,unacc
vhigh,low,3,4,pequeño,med,unacc
vhigh,low,3,4,pequeño,high,acc
vhigh,low,3,4,mediano,low,unacc
vhigh,low,3,4,mediano,med,unacc
vhigh,low,3,4,mediano,high,acc
vhigh,low,3,4,grande,low,unacc
vhigh,low,3,4,grande,med,acc
vhigh,low,3,4,grande,high,acc
vhigh,low,3,more,pequeño,low,unacc
vhigh,low,3,more,pequeño,med,unacc
vhigh,low,3,more,pequeño,high,acc
vhigh,low,3,more,mediano,low,unacc
vhigh,low,3,more,mediano,med,acc
vhigh,low,3,more,mediano,high,acc
vhigh,low,3,more,grande,low,unacc
vhigh,low,3,more,grande,med,acc
vhigh,low,3,more,grande,high,acc
vhigh,low,4,2,pequeño,low,unacc
vhigh,low,4,2,pequeño,med,unacc
vhigh,low,4,2,pequeño,high,unacc
vhigh,low,4,2,mediano,low,unacc
vhigh,low,4,2,mediano,med,unacc
vhigh,low,4,2,mediano,high,unacc
vhigh,low,4,2,grande,low,unacc
vhigh,low,4,2,grande,med,unacc
vhigh,low,4,2,grande,high,unacc
vhigh,low,4,4,pequeño,low,unacc
vhigh,low,4,4,pequeño,med,unacc
vhigh,low,4,4,pequeño,high,acc
vhigh,low,4,4,mediano,low,unacc
vhigh,low,4,4,mediano,med,acc
vhigh,low,4,4,mediano,high,acc
vhigh,low,4,4,grande,low,unacc
vhigh,low,4,4,grande,med,acc
vhigh,low,4,4,grande,high,acc
vhigh,low,4,more,pequeño,low,unacc
vhigh,low,4,more,pequeño,med,unacc
vhigh,low,4,more,pequeño,high,acc
vhigh,low,4,more,mediano,low,unacc
vhigh,low,4,more,mediano,med,acc
vhigh,low,4,more,mediano,high,acc
vhigh,low,4,more,grande,low,unacc
vhigh,low,4,more,grande,med,acc
vhigh,low,4,more,grande,high,acc
vhigh,low,5more,2,pequeño,low,unacc
vhigh,low,5more,2,pequeño,med,unacc
vhigh,low,5more,2,pequeño,high,unacc
vhigh,low,5more,2,mediano,low,unacc
vhigh,low,5more,2,mediano,med,unacc
vhigh,low,5more,2,mediano,high,unacc
vhigh,low,5more,2,grande,low,unacc
vhigh,low,5more,2,grande,med,unacc
vhigh,low,5more,2,grande,high,unacc
vhigh,low,5more,4,pequeño,low,unacc
vhigh,low,5more,4,pequeño,med,unacc
vhigh,low,5more,4,pequeño,high,acc
vhigh,low,5more,4,mediano,low,unacc
vhigh,low,5more,4,mediano,med,acc
vhigh,low,5more,4,mediano,high,acc
vhigh,low,5more,4,grande,low,unacc
vhigh,low,5more,4,grande,med,acc
vhigh,low,5more,4,grande,high,acc
vhigh,low,5more,more,pequeño,low,unacc
vhigh,low,5more,more,pequeño,med,unacc
vhigh,low,5more,more,pequeño,high,acc
vhigh,low,5more,more,mediano,low,unacc
vhigh,low,5more,more,mediano,med,acc
vhigh,low,5more,more,mediano,high,acc
vhigh,low,5more,more,grande,low,unacc
vhigh,low,5more,more,grande,med,acc
vhigh,low,5more,more,grande,high,acc
high,vhigh,2,2,pequeño,low,unacc
high,vhigh,2,2,pequeño,med,unacc
high,vhigh,2,2,pequeño,high,unacc
high,vhigh,2,2,mediano,low,unacc
high,vhigh,2,2,mediano,med,unacc
high,vhigh,2,2,mediano,high,unacc
high,vhigh,2,2,grande,low,unacc
high,vhigh,2,2,grande,med,unacc
high,vhigh,2,2,grande,high,unacc
high,vhigh,2,4,pequeño,low,unacc
high,vhigh,2,4,pequeño,med,unacc
high,vhigh,2,4,pequeño,high,unacc
high,vhigh,2,4,mediano,low,unacc
high,vhigh,2,4,mediano,med,unacc
high,vhigh,2,4,mediano,high,unacc
high,vhigh,2,4,grande,low,unacc
high,vhigh,2,4,grande,med,unacc
high,vhigh,2,4,grande,high,unacc
high,vhigh,2,more,pequeño,low,unacc
high,vhigh,2,more,pequeño,med,unacc
high,vhigh,2,more,pequeño,high,unacc
high,vhigh,2,more,mediano,low,unacc
high,vhigh,2,more,mediano,med,unacc
high,vhigh,2,more,mediano,high,unacc
high,vhigh,2,more,grande,low,unacc
high,vhigh,2,more,grande,med,unacc
high,vhigh,2,more,grande,high,unacc
high,vhigh,3,2,pequeño,low,unacc
high,vhigh,3,2,pequeño,med,unacc
high,vhigh,3,2,pequeño,high,unacc
high,vhigh,3,2,mediano,low,unacc
high,vhigh,3,2,mediano,med,unacc
high,vhigh,3,2,mediano,high,unacc
high,vhigh,3,2,grande,low,unacc
high,vhigh,3,2,grande,med,unacc
high,vhigh,3,2,grande,high,unacc
high,vhigh,3,4,pequeño,low,unacc
high,vhigh,3,4,pequeño,med,unacc
high,vhigh,3,4,pequeño,high,unacc
high,vhigh,3,4,mediano,low,unacc
high,vhigh,3,4,mediano,med,unacc
high,vhigh,3,4,mediano,high,unacc
high,vhigh,3,4,grande,low,unacc
high,vhigh,3,4,grande,med,unacc
high,vhigh,3,4,grande,high,unacc
high,vhigh,3,more,pequeño,low,unacc
high,vhigh,3,more,pequeño,med,unacc
high,vhigh,3,more,pequeño,high,unacc
high,vhigh,3,more,mediano,low,unacc
high,vhigh,3,more,mediano,med,unacc
high,vhigh,3,more,mediano,high,unacc
high,vhigh,3,more,grande,low,unacc
high,vhigh,3,more,grande,med,unacc
high,vhigh,3,more,grande,high,unacc
high,vhigh,4,2,pequeño,low,unacc
high,vhigh,4,2,pequeño,med,unacc
high,vhigh,4,2,pequeño,high,unacc
high,vhigh,4,2,mediano,low,unacc
high,vhigh,4,2,mediano,med,unacc
high,vhigh,4,2,mediano,high,unacc
high,vhigh,4,2,grande,low,unacc
high,vhigh,4,2,grande,med,unacc
high,vhigh,4,2,grande,high,unacc
high,vhigh,4,4,pequeño,low,unacc
high,vhigh,4,4,pequeño,med,unacc
high,vhigh,4,4,pequeño,high,unacc
high,vhigh,4,4,mediano,low,unacc
high,vhigh,4,4,mediano,med,unacc
high,vhigh,4,4,mediano,high,unacc
high,vhigh,4,4,grande,low,unacc
high,vhigh,4,4,grande,med,unacc
high,vhigh,4,4,grande,high,unacc
high,vhigh,4,more,pequeño,low,unacc
high,vhigh,4,more,pequeño,med,unacc
high,vhigh,4,more,pequeño,high,unacc
high,vhigh,4,more,mediano,low,unacc
high,vhigh,4,more,mediano,med,unacc
high,vhigh,4,more,mediano,high,unacc
high,vhigh,4,more,grande,low,unacc
high,vhigh,4,more,grande,med,unacc
high,vhigh,4,more,grande,high,unacc
high,vhigh,5more,2,pequeño,low,unacc
high,vhigh,5more,2,pequeño,med,unacc
high,vhigh,5more,2,pequeño,high,unacc
high,vhigh,5more,2,mediano,low,unacc
high,vhigh,5more,2,mediano,med,unacc
high,vhigh,5more,2,mediano,high,unacc
high,vhigh,5more,2,grande,low,unacc
high,vhigh,5more,2,grande,med,unacc
high,vhigh,5more,2,grande,high,unacc
high,vhigh,5more,4,pequeño,low,unacc
high,vhigh,5more,4,pequeño,med,unacc
high,vhigh,5more,4,pequeño,high,unacc
high,vhigh,5more,4,mediano,low,unacc
high,vhigh,5more,4,mediano,med,unacc
high,vhigh,5more,4,mediano,high,unacc
high,vhigh,5more,4,grande,low,unacc
high,vhigh,5more,4,grande,med,unacc
high,vhigh,5more,4,grande,high,unacc
high,vhigh,5more,more,pequeño,low,unacc
high,vhigh,5more,more,pequeño,med,unacc
high,vhigh,5more,more,pequeño,high,unacc
high,vhigh,5more,more,mediano,low,unacc
high,vhigh,5more,more,mediano,med,unacc
high,vhigh,5more,more,mediano,high,unacc
high,vhigh,5more,more,grande,low,unacc
high,vhigh,5more,more,grande,med,unacc
high,vhigh,5more,more,grande,high,unacc
high,high,2,2,pequeño,low,unacc
high,high,2,2,pequeño,med,unacc
high,high,2,2,pequeño,high,unacc
high,high,2,2,mediano,low,unacc
high,high,2,2,mediano,med,unacc
high,high,2,2,mediano,high,unacc
high,high,2,2,grande,low,unacc
high,high,2,2,grande,med,unacc
high,high,2,2,grande,high,unacc
high,high,2,4,pequeño,low,unacc
high,high,2,4,pequeño,med,unacc
high,high,2,4,pequeño,high,acc
high,high,2,4,mediano,low,unacc
high,high,2,4,mediano,med,unacc
high,high,2,4,mediano,high,acc
high,high,2,4,grande,low,unacc
high,high,2,4,grande,med,acc
high,high,2,4,grande,high,acc
high,high,2,more,pequeño,low,unacc
high,high,2,more,pequeño,med,unacc
high,high,2,more,pequeño,high,unacc
high,high,2,more,mediano,low,unacc
high,high,2,more,mediano,med,unacc
high,high,2,more,mediano,high,acc
high,high,2,more,grande,low,unacc
high,high,2,more,grande,med,acc
high,high,2,more,grande,high,acc
high,high,3,2,pequeño,low,unacc
high,high,3,2,pequeño,med,unacc
high,high,3,2,pequeño,high,unacc
high,high,3,2,mediano,low,unacc
high,high,3,2,mediano,med,unacc
high,high,3,2,mediano,high,unacc
high,high,3,2,grande,low,unacc
high,high,3,2,grande,med,unacc
high,high,3,2,grande,high,unacc
high,high,3,4,pequeño,low,unacc
high,high,3,4,pequeño,med,unacc
high,high,3,4,pequeño,high,acc
high,high,3,4,mediano,low,unacc
high,high,3,4,mediano,med,unacc
high,high,3,4,mediano,high,acc
high,high,3,4,grande,low,unacc
high,high,3,4,grande,med,acc
high,high,3,4,grande,high,acc
high,high,3,more,pequeño,low,unacc
high,high,3,more,pequeño,med,unacc
high,high,3,more,pequeño,high,acc
high,high,3,more,mediano,low,unacc
high,high,3,more,mediano,med,acc
high,high,3,more,mediano,high,acc
high,high,3,more,grande,low,unacc
high,high,3,more,grande,med,acc
high,high,3,more,grande,high,acc
high,high,4,2,pequeño,low,unacc
high,high,4,2,pequeño,med,unacc
high,high,4,2,pequeño,high,unacc
high,high,4,2,mediano,low,unacc
high,high,4,2,mediano,med,unacc
high,high,4,2,mediano,high,unacc
high,high,4,2,grande,low,unacc
high,high,4,2,grande,med,unacc
high,high,4,2,grande,high,unacc
high,high,4,4,pequeño,low,unacc
high,high,4,4,pequeño,med,unacc
high,high,4,4,pequeño,high,acc
high,high,4,4,mediano,low,unacc
high,high,4,4,mediano,med,acc
high,high,4,4,mediano,high,acc
high,high,4,4,grande,low,unacc
high,high,4,4,grande,med,acc
high,high,4,4,grande,high,acc
high,high,4,more,pequeño,low,unacc
high,high,4,more,pequeño,med,unacc
high,high,4,more,pequeño,high,acc
high,high,4,more,mediano,low,unacc
high,high,4,more,mediano,med,acc
high,high,4,more,mediano,high,acc
high,high,4,more,grande,low,unacc
high,high,4,more,grande,med,acc
high,high,4,more,grande,high,acc
high,high,5more,2,pequeño,low,unacc
high,high,5more,2,pequeño,med,unacc
high,high,5more,2,pequeño,high,unacc
high,high,5more,2,mediano,low,unacc
high,high,5more,2,mediano,med,unacc
high,high,5more,2,mediano,high,unacc
high,high,5more,2,grande,low,unacc
high,high,5more,2,grande,med,unacc
high,high,5more,2,grande,high,unacc
high,high,5more,4,pequeño,low,unacc
high,high,5more,4,pequeño,med,unacc
high,high,5more,4,pequeño,high,acc
high,high,5more,4,mediano,low,unacc
high,high,5more,4,mediano,med,acc
high,high,5more,4,mediano,high,acc
high,high,5more,4,grande,low,unacc
high,high,5more,4,grande,med,acc
high,high,5more,4,grande,high,acc
high,high,5more,more,pequeño,low,unacc
high,high,5more,more,pequeño,med,unacc
high,high,5more,more,pequeño,high,acc
high,high,5more,more,mediano,low,unacc
high,high,5more,more,mediano,med,acc
high,high,5more,more,mediano,high,acc
high,high,5more,more,grande,low,unacc
high,high,5more,more,grande,med,acc
high,high,5more,more,grande,high,acc
high,med,2,2,pequeño,low,unacc
high,med,2,2,pequeño,med,unacc
high,med,2,2,pequeño,high,unacc
high,med,2,2,mediano,low,unacc
high,med,2,2,mediano,med,unacc
high,med,2,2,mediano,high,unacc
high,med,2,2,grande,low,unacc
high,med,2,2,grande,med,unacc
high,med,2,2,grande,high,unacc
high,med,2,4,pequeño,low,unacc
high,med,2,4,pequeño,med,unacc
high,med,2,4,pequeño,high,acc
high,med,2,4,mediano,low,unacc
high,med,2,4,mediano,med,unacc
high,med,2,4,mediano,high,acc
high,med,2,4,grande,low,unacc
